condition_id,swap_variant,layer,logit_A,logit_B,delta_AB,rank_A,rank_B,j_score_A,j_score_B,j_delta_AB,j_rank_A,j_rank_B
sc5_orig,False,34,-16.546875,19.171875,-35.71875,40205,85,,,,,
sc5_orig,False,35,-8.7578125,20.734375,-29.4921875,8145,62,,,,,
sc5_orig,False,36,-9.4609375,17.625,-27.0859375,15200,84,,,,,
sc5_orig,False,37,-14.9375,5.20703125,-20.14453125,58544,476,,,,,
sc5_orig,False,38,-21.171875,-11.7578125,-9.4140625,181222,57962,,,,,
sc5_orig,False,39,-14.1796875,-23.203125,9.0234375,202901,248968,,,,,
sc5_orig,False,40,-5.8359375,-18.234375,12.3984375,126827,241206,,,,,
sc5_orig,False,41,0.466064453125,6.40234375,-5.936279296875,27388,4763,,,,,
sc5_orig,False,42,-4.71875,9.1953125,-13.9140625,56190,812,,,,,
sc5_orig,False,43,-12.921875,-3.1640625,-9.7578125,178832,39241,,,,,
sc5_orig,False,44,-14.25,2.5390625,-16.7890625,209130,8628,,,,,
sc5_orig,False,45,-16.3125,7.3125,-23.625,232198,1652,,,,,
sc5_orig,False,46,-13.9765625,5.04296875,-19.01953125,212464,4860,,,,,
sc5_orig,False,47,-11.109375,1.18359375,-12.29296875,177211,18972,,,,,
sc5_orig,False,48,-8.7734375,14.0390625,-22.8125,134138,82,,,,,
sc5_orig,False,49,-2.1953125,26.96875,-29.1640625,39765,6,,,,,
sc5_orig,False,50,-3.869140625,16.90625,-20.775390625,56569,30,,,,,
sc5_orig,False,51,7.62109375,12.53125,-4.91015625,1686,236,,,,,
sc5_orig,False,52,2.46484375,-6.7109375,9.17578125,20802,113236,,,,,
sc5_orig,False,53,2.919921875,-32.96875,35.888671875,11484,262124,,,,,
sc5_orig,False,54,-5.5,-49.5625,44.0625,96593,262142,,,,,
sc5_orig,False,55,-9.6953125,-46.625,36.9296875,196496,262141,,,,,
sc5_orig,False,56,-22.53125,-118.9375,96.40625,261717,262143,,,,,
sc5_orig,False,57,-37.375,-175.875,138.5,262142,262143,,,,,
sc5_orig,False,58,-4.2109375,-29.71875,25.5078125,222099,262139,,,,,
sc5_orig,False,59,2.466796875,43.1875,-40.720703125,322,0,,,,,
sc5_swap,True,0,-269.0,-215.75,-53.25,262132,262126,,,,,
sc5_swap,True,1,-608.5,-1022.5,414.0,262131,262138,,,,,
sc5_swap,True,2,-587.0,-992.0,405.0,262131,262138,,,,,
sc5_swap,True,3,-524.0,-995.0,471.0,262131,262139,,,,,
sc5_swap,True,4,-515.0,-981.0,466.0,262131,262139,,,,,
sc5_swap,True,5,-370.75,-784.0,413.25,262133,262141,,,,,
sc5_swap,True,6,-279.25,-581.0,301.75,262132,262141,,,,,
sc5_swap,True,7,-205.875,-401.75,195.875,262131,262140,,,,,
sc5_swap,True,8,-221.875,-439.25,217.375,262131,262140,,,,,
sc5_swap,True,9,-168.375,-347.0,178.625,262128,262140,,,,,
sc5_swap,True,10,-138.0,-270.5,132.5,262127,262140,,,,,
sc5_swap,True,11,-120.0625,-219.75,99.6875,262129,262139,,,,,
sc5_swap,True,12,-156.375,-258.25,101.875,262128,262138,,,,,
sc5_swap,True,13,-155.625,-255.5,99.875,262128,262137,,,,,
sc5_swap,True,14,-156.125,-249.5,93.375,262129,262137,,,,,
sc5_swap,True,15,-134.375,-181.375,47.0,262130,262137,,,,,
sc5_swap,True,16,-126.6875,-159.0,32.3125,262130,262137,,,,,
